	texts	stars	ton
140	Всегда было хорошее отделение, но набрали новых сотрудников и всё изменилось. Грубят, вынуждают отправлять посылки более дорогим классом. Причем в один и тот же населённый пункт могут отправить и за 161 рубль, и за 400. От пункта назначения не зависит. Соглашаются отправлять сразу не более 5 бандеролей. Но зато соглашаются отправить 17, если из них большую часть послать 1 классом. На сайте не нашла такого условия. Извещения вообще приносят дней через 10-15 после того, как посылка приходит в отделение. Вне зависимости от того, получена она уже или нет.	1	0
141	Норм. Не шеймите это отделение. Забираю тут и отправляю, и пока никаких нареканий.	5	1
142	Года два хожу за посылками в это отделение. Мне нравится. Обслуживание нормальное. Отвечают,объясняют,подсказывают.	5	1
143	Не присылают извещения. Звонят сообщить о посылке только тогда, когда уже приготовили её на возврат	1	0
144	скоты какие-то работают, ничего больше не скажешь	1	0
145	Че за хрень, тут указано что работают в воскресное , а по факту нет.	1	0
146	Отучите своих девочек заниматься вдвоём одним клиентом!	2	
147	За 4 года, ни одного нарекания. Грамотный персонал, работают хорошо и быстро.	5	1
148	Никогда никаких проблем не возникало.	5	1
149	"Не принесли извещение , посылку отправили обратно , спасибо большое ! 
Самая убогая почта в мире !"	1	0
150	Хороший персонал, люди как люди, не замечал никогда плохого отношения. Что касается выходных - ну ладно, что понедельник выходной. Зато в воскресенье работает, а кому-то в выходной удобнее сходить, чем в будни после учёбы/работы. А посылки быстро всегда находили - не было задержек никаких.	5	1
151	В понедельник выходной!!!!!!!!!!!!! Это на двери написано!!!что за бред вообще!!!! Обслуживание отвратное!!!!	1	0
152	Самая убогая почта , пол часа одну посылку ищут втроём! Спросить не дают, в очереди в итоге простояла кучу времени в толпе, спросила по своей очереди , оказалось не надо было стоять , сразу они ответить на один вопрос не могли видите ли они заняты поиском втроём!	1	0
153	Ужасное отделение почты, прислали оповещение, где график работы 9-19ч и пн рабочий день. После работы спокойно пришла, а там висит другой график работы и конечно же закрыто!!!!. А когда уже забирала посылку, сказала про такой НЮАНС с графиком, сотрудница нагрубила, сказав, что это старое оповещение. Даже не извинилась.	1	0
154	Сотрудники, как сотрудники. Но постоянно упираться в закрытые двери уже изрядно надоело.. График работы идиотический.	2	
155	Все быстро и добрые сотрудники!	5	1
156	Это самое ужасное отделение нашего города! График работы просто не совместим с рабочим классом! Работаю с 9 до 18, не успеваю ни утром ни вечером...Толпа народу и всего 2 сотрудницы, причём одна всегда занята чем то другим...И воскресенье с понедельником выходной...Откройте нормальное отделение в нашем микрорайоне, с нормальным графиком часами работы хотя бы до 19-00	1	0
157	"Это отделение почты для тех у кого есть время...
По другому их рабочий график я назвать не могу работаю с 8 до 7 я ясен пень посылку забрать не успеваю а отделение слишком далеко от работы что бы туда даже в обед сгонять вот и получается что я свою посылку не могу забрать в субботу я тоже работаю... Вообще люди я хренею я хотел перенаправить свои посылки в другое отделение которое хотя бы до 8 работает но это платная услуга заплатить почти 300 рублей что бы почтовое отделение которое сократило себе рабочий день переслали мои посылки в другое отделение почты которое работает хотя бы до 8... Это блин бред. Хотя бы в воскресенье пару часов бы поработали... Я не думаю что все как и я в субботу работают но я всё-таки думаю что такие есть и они меня поддержат чтобы либо продлить их режим работы в какой-то из дней кроме субботы само собой либо в воскресенье хотя бы пару часов поработать. А то это реально дурдом какой-то"	1	0
158	Хамоватые сотрудники, с неисправной техникой. Не компетентны, не знают нюансов собственной работы. Посылку отправили в другое отделение, от сотрудника поступило потрясающее предложение протопать до того отделения самой и забрать посылку там, либо дождаться в родном отделении. В другом отделении мне сказали что посылки вообще у них не было и она мол сразу отправилась в нужное. И благодаря их замечательному графику работы посылку я смогу забрать только через два дня.	1	0
159	Ужасное отделение! Персонал одни хамки! Отношение к людям просто отвратительное.	1	0
160	Отличное отделение, мне нравится, всегда вежливые девчонки, всегда все скажут, обьяснят.	5	1
161	Ужасное обслуживание! Так медленно все делают!	1	0
162	девченки молодцы. всегда помогут. а обед есть у всех. не забывайте. я когда прихожу все быстро происходит.	5	1
163	Ужасное отдаление. Всё очень долго, много народу, 2 человека просто не справляются со всей работой. В отдаление не дозвониться. Режим рабочего времени для почты очень шикарный - с 9 до 18 и обед с 13.00 до 14.00. То есть в своё отдаление ты в будние не попадёшь в принципе, а в сб простоишь пол дня в очереди 	1	0
164	Вежливые сотрудники. Все норм.	5	1
165	Товарищи, подымем честь и рейтинг почты вместе. Долой розовых непонятных существ. Только безпаспортное получение.	5	1
166	"Отлично, всегда прихожу за посылочками
И всех своих там знают,самый лучший оператор"	5	1
167	"Уже не первый раз прихожу отправить вещь в пределах России. И не всегда получается по одной простой причине: отсутствие коробок, пакетиков и скотча. В остальном ""Почта России"" работает нормально."	3	
168	Сервис на 0. Обслуживание очень медленное. Лишний раз попу от стула не оторвут. Хамят. В вопросах не компетентны	3	
169	Очень нравится обслуживание. Приятная, доброжелательная девушка, всегда готова помочь при разных затруднениях.	5	1
170	Очень крутое отделение. Извещание принесли быстро. Забрал уже 2 посылки. Там работает очень хорошая бабушка.	5	1
171	Вежливые и компитентные сотрудники	5	1
172	Отличное отделение, сотрудники молодцы!	5	1
173	Все печально. Не видела ни одного приветливого сотрудника в данном отделении ни разу.	1	0
174	Лучшее в Абакане отделение почты! Очень доброжелательный персонал, ещё и сообщают обо всех посылках по WhatsApp. Молодцы!	5	1
175	Лучшее отделение почты	5	1
176	Самая адекватна почта в Абакане.	5	1
177	Дамы в данном почтовом отделении большие молодцы!!! Очень приветливые и доброжелательные! Всегда оповестят звонком о пришедшей посылке. Спасибо большое Вам!!!	5	1
178	Присоединяюсь к отзывам. The best!!!	5	1
179	Обожаемое отделение, переехали от туда, но все равно получать едем туда посылки, девочки там лучшие, ни когда не грубят и всегда улыбаются	5	1
180	Доброжелательный персонал , спасибо	5	1
181	Лучшее почтовое отделение в Абакане. Персонал просто божественный. Из пожеланий, постройте большое и красивое здание в этом месте с большой парковкой для наших девочек, они достойны большего!	5	1
